equipe,elo_pre,elo_post,delta
Espagne,2159,2170,12
Argentine,2142,2145,3
France,2116,2129,14
Angleterre,2057,2065,8
Brésil,2010,2033,23
Colombie,2013,2023,10
Pays-Bas,2011,2004,-7
Portugal,1975,2001,26
Maroc,1924,1931,7
Japon,1932,1908,-23
Suisse,1873,1906,34
Allemagne,1918,1904,-13
Croatie,1928,1902,-26
Mexique,1860,1891,32
Norvège,1865,1889,25
Belgique,1843,1873,30
Uruguay,1847,1847,0
États-Unis,1817,1836,19
Sénégal,1842,1812,-30
Équateur,1821,1789,-32
Autriche,1796,1784,-12
Côte d'Ivoire,1803,1778,-25
Suède,1786,1772,-14
Iran,1769,1769,0
Paraguay,1755,1768,13
Turquie,1760,1760,0
Algérie,1785,1751,-34
Canada,1728,1743,15
Australie,1742,1739,-3
RD Congo,1735,1726,-8
Ghana,1727,1717,-10
Écosse,1716,1716,0
Égypte,1707,1710,3
Corée du Sud,1707,1707,0
Tchéquie,1649,1649,0
Arabie saoudite,1642,1642,0
Bosnie-Herzégovine,1655,1636,-19
Cap-Vert,1629,1626,-3
Tunisie,1603,1603,0
Panama,1599,1599,0
Afrique du Sud,1600,1585,-15
Ouzbékistan,1576,1576,0
Irak,1550,1550,0
Haïti,1536,1536,0
Jordanie,1530,1530,0
Qatar,1522,1522,0
Curaçao,1494,1494,0
Nouvelle-Zélande,1480,1480,0
